315:	learn: 0.0230035	total: 18m	remaining: 10m 28s
316:	learn: 0.0229972	total: 18m 1s	remaining: 10m 24s
317:	learn: 0.0229879	total: 18m 2s	remaining: 10m 19s
318:	learn: 0.0229812	total: 18m 4s	remaining: 10m 15s
319:	learn: 0.0229743	total: 18m 5s	remaining: 10m 10s
320:	learn: 0.0229661	total: 18m 7s	remaining: 10m 6s
321:	learn: 0.0229615	total: 18m 9s	remaining: 10m 2s
322:	learn: 0.0229539	total: 18m 11s	remaining: 9m 58s
323:	learn: 0.0229486	total: 18m 13s	remaining: 9m 54s
324:	learn: 0.0229400	total: 18m 16s	remaining: 9m 50s
325:	learn: 0.0229320	total: 18m 18s	remaining: 9m 46s
326:	learn: 0.0229279	total: 18m 22s	remaining: 9m 43s
327:	learn: 0.0229202	total: 18m 25s	remaining: 9m 39s
328:	learn: 0.0229123	total: 18m 27s	remaining: 9m 35s
329:	learn: 0.0229052	total: 18m 28s	remaining: 9m 31s
330:	learn: 0.0228956	total: 18m 31s	remaining: 9m 27s
331:	learn: 0.0228902	total: 18m 33s	remaining: 9m 23s
332:	learn: 0.0228718	total: 18m 36s	remaining: 9m 19s
333:	learn: 0.0228640	total: 18m 37s	remaining: 9m 15s
334:	learn: 0.0228521	total: 18m 40s	remaining: 9m 12s
335:	learn: 0.0228432	total: 18m 44s	remaining: 9m 8s
336:	learn: 0.0228347	total: 18m 45s	remaining: 9m 4s
337:	learn: 0.0228275	total: 18m 47s	remaining: 9m
338:	learn: 0.0228199	total: 18m 49s	remaining: 8m 56s
339:	learn: 0.0228133	total: 18m 51s	remaining: 8m 52s
340:	learn: 0.0228052	total: 18m 52s	remaining: 8m 48s
341:	learn: 0.0227978	total: 18m 54s	remaining: 8m 44s
342:	learn: 0.0227918	total: 18m 55s	remaining: 8m 39s
343:	learn: 0.0227870	total: 18m 57s	remaining: 8m 35s
344:	learn: 0.0227776	total: 19m	remaining: 8m 32s
345:	learn: 0.0227722	total: 19m 2s	remaining: 8m 28s
346:	learn: 0.0227652	total: 19m 3s	remaining: 8m 24s
347:	learn: 0.0227576	total: 19m 6s	remaining: 8m 20s
348:	learn: 0.0227502	total: 19m 7s	remaining: 8m 16s
349:	learn: 0.0227426	total: 19m 9s	remaining: 8m 12s
350:	learn: 0.0227385	total: 19m 11s	remaining: 8m 8s
351:	learn: 0.0227314	total: 19m 12s	remaining: 8m 4s
352:	learn: 0.0227210	total: 19m 15s	remaining: 8m 1s
353:	learn: 0.0227167	total: 19m 16s	remaining: 7m 57s
354:	learn: 0.0227075	total: 19m 20s	remaining: 7m 54s
355:	learn: 0.0226991	total: 19m 24s	remaining: 7m 50s
356:	learn: 0.0226870	total: 19m 26s	remaining: 7m 47s
357:	learn: 0.0226826	total: 19m 28s	remaining: 7m 43s
358:	learn: 0.0226771	total: 19m 31s	remaining: 7m 39s
359:	learn: 0.0226666	total: 19m 33s	remaining: 7m 36s
360:	learn: 0.0226610	total: 19m 35s	remaining: 7m 32s
361:	learn: 0.0226542	total: 19m 36s	remaining: 7m 28s
362:	learn: 0.0226342	total: 19m 42s	remaining: 7m 26s
363:	learn: 0.0226281	total: 19m 43s	remaining: 7m 22s
364:	learn: 0.0226236	total: 19m 44s	remaining: 7m 18s
365:	learn: 0.0226150	total: 19m 46s	remaining: 7m 14s
366:	learn: 0.0226088	total: 19m 47s	remaining: 7m 10s
367:	learn: 0.0225991	total: 19m 51s	remaining: 7m 7s
368:	learn: 0.0225828	total: 19m 52s	remaining: 7m 3s
369:	learn: 0.0225745	total: 19m 55s	remaining: 7m
370:	learn: 0.0225675	total: 19m 57s	remaining: 6m 56s
371:	learn: 0.0225583	total: 20m	remaining: 6m 53s
372:	learn: 0.0225428	total: 20m 3s	remaining: 6m 49s
373:	learn: 0.0225380	total: 20m 5s	remaining: 6m 46s
374:	learn: 0.0225276	total: 20m 7s	remaining: 6m 42s
375:	learn: 0.0225208	total: 20m 8s	remaining: 6m 38s
376:	learn: 0.0225158	total: 20m 11s	remaining: 6m 35s
377:	learn: 0.0225043	total: 20m 15s	remaining: 6m 32s
378:	learn: 0.0224986	total: 20m 16s	remaining: 6m 28s
379:	learn: 0.0224932	total: 20m 18s	remaining: 6m 24s
380:	learn: 0.0224799	total: 20m 21s	remaining: 6m 21s
381:	learn: 0.0224738	total: 20m 24s	remaining: 6m 18s
382:	learn: 0.0224612	total: 20m 26s	remaining: 6m 14s
383:	learn: 0.0224486	total: 20m 29s	remaining: 6m 11s
384:	learn: 0.0224399	total: 20m 31s	remaining: 6m 7s
385:	learn: 0.0224296	total: 20m 33s	remaining: 6m 4s
386:	learn: 0.0224253	total: 20m 35s	remaining: 6m
387:	learn: 0.0224199	total: 20m 40s	remaining: 5m 58s
388:	learn: 0.0224146	total: 20m 42s	remaining: 5m 54s
389:	learn: 0.0224072	total: 20m 43s	remaining: 5m 50s
390:	learn: 0.0224035	total: 20m 45s	remaining: 5m 47s
391:	learn: 0.0223960	total: 20m 46s	remaining: 5m 43s
392:	learn: 0.0223867	total: 20m 49s	remaining: 5m 40s
393:	learn: 0.0223733	total: 20m 52s	remaining: 5m 36s
394:	learn: 0.0223693	total: 20m 53s	remaining: 5m 33s
395:	learn: 0.0223652	total: 20m 55s	remaining: 5m 29s
396:	learn: 0.0223495	total: 20m 57s	remaining: 5m 26s
397:	learn: 0.0223374	total: 20m 59s	remaining: 5m 22s
398:	learn: 0.0223301	total: 21m 2s	remaining: 5m 19s
399:	learn: 0.0223213	total: 21m 3s	remaining: 5m 15s
400:	learn: 0.0223123	total: 21m 6s	remaining: 5m 12s
401:	learn: 0.0223055	total: 21m 7s	remaining: 5m 8s
402:	learn: 0.0223008	total: 21m 8s	remaining: 5m 5s
403:	learn: 0.0222949	total: 21m 10s	remaining: 5m 1s
404:	learn: 0.0222908	total: 21m 12s	remaining: 4m 58s
405:	learn: 0.0222810	total: 21m 14s	remaining: 4m 55s
406:	learn: 0.0222737	total: 21m 16s	remaining: 4m 51s
407:	learn: 0.0222678	total: 21m 18s	remaining: 4m 48s
408:	learn: 0.0222624	total: 21m 20s	remaining: 4m 44s
409:	learn: 0.0222547	total: 21m 22s	remaining: 4m 41s
410:	learn: 0.0222456	total: 21m 25s	remaining: 4m 38s
411:	learn: 0.0222399	total: 21m 29s	remaining: 4m 35s
412:	learn: 0.0222268	total: 21m 32s	remaining: 4m 32s
413:	learn: 0.0222218	total: 21m 34s	remaining: 4m 28s
414:	learn: 0.0222158	total: 21m 36s	remaining: 4m 25s
415:	learn: 0.0222063	total: 21m 39s	remaining: 4m 22s
416:	learn: 0.0222003	total: 21m 41s	remaining: 4m 19s
417:	learn: 0.0221933	total: 21m 43s	remaining: 4m 15s
418:	learn: 0.0221858	total: 21m 47s	remaining: 4m 12s
419:	learn: 0.0221809	total: 21m 50s	remaining: 4m 9s
420:	learn: 0.0221746	total: 21m 51s	remaining: 4m 6s
421:	learn: 0.0221683	total: 21m 54s	remaining: 4m 3s
422:	learn: 0.0221564	total: 21m 57s	remaining: 3m 59s
423:	learn: 0.0221502	total: 21m 58s	remaining: 3m 56s
424:	learn: 0.0221392	total: 22m	remaining: 3m 52s
425:	learn: 0.0221324	total: 22m 1s	remaining: 3m 49s
