351:	learn: 0.1341207	total: 15m 31s	remaining: 6m 31s
352:	learn: 0.1337644	total: 15m 34s	remaining: 6m 29s
353:	learn: 0.1333888	total: 15m 36s	remaining: 6m 26s
354:	learn: 0.1330385	total: 15m 38s	remaining: 6m 23s
355:	learn: 0.1326855	total: 15m 41s	remaining: 6m 20s
356:	learn: 0.1323314	total: 15m 43s	remaining: 6m 17s
357:	learn: 0.1319753	total: 15m 45s	remaining: 6m 15s
358:	learn: 0.1316049	total: 15m 48s	remaining: 6m 12s
359:	learn: 0.1312533	total: 15m 50s	remaining: 6m 9s
360:	learn: 0.1308754	total: 15m 53s	remaining: 6m 7s
361:	learn: 0.1305123	total: 15m 55s	remaining: 6m 4s
362:	learn: 0.1301640	total: 15m 58s	remaining: 6m 1s
363:	learn: 0.1298130	total: 16m	remaining: 5m 58s
364:	learn: 0.1294605	total: 16m 3s	remaining: 5m 56s
365:	learn: 0.1290952	total: 16m 5s	remaining: 5m 53s
366:	learn: 0.1287497	total: 16m 8s	remaining: 5m 50s
367:	learn: 0.1283888	total: 16m 10s	remaining: 5m 48s
368:	learn: 0.1280321	total: 16m 13s	remaining: 5m 45s
369:	learn: 0.1276881	total: 16m 15s	remaining: 5m 42s
370:	learn: 0.1273390	total: 16m 17s	remaining: 5m 40s
371:	learn: 0.1270187	total: 16m 20s	remaining: 5m 37s
372:	learn: 0.1266995	total: 16m 22s	remaining: 5m 34s
373:	learn: 0.1263445	total: 16m 24s	remaining: 5m 31s
374:	learn: 0.1260056	total: 16m 27s	remaining: 5m 29s
375:	learn: 0.1256698	total: 16m 29s	remaining: 5m 26s
376:	learn: 0.1253525	total: 16m 32s	remaining: 5m 23s
377:	learn: 0.1250251	total: 16m 34s	remaining: 5m 20s
378:	learn: 0.1247025	total: 16m 36s	remaining: 5m 18s
379:	learn: 0.1243514	total: 16m 39s	remaining: 5m 15s
380:	learn: 0.1240383	total: 16m 41s	remaining: 5m 12s
381:	learn: 0.1237053	total: 16m 43s	remaining: 5m 10s
382:	learn: 0.1234027	total: 16m 46s	remaining: 5m 7s
383:	learn: 0.1230898	total: 16m 48s	remaining: 5m 4s
384:	learn: 0.1228065	total: 16m 50s	remaining: 5m 1s
385:	learn: 0.1224718	total: 16m 53s	remaining: 4m 59s
386:	learn: 0.1221346	total: 16m 55s	remaining: 4m 56s
387:	learn: 0.1218118	total: 16m 57s	remaining: 4m 53s
388:	learn: 0.1214833	total: 17m	remaining: 4m 51s
389:	learn: 0.1211595	total: 17m 2s	remaining: 4m 48s
390:	learn: 0.1208536	total: 17m 4s	remaining: 4m 45s
391:	learn: 0.1205393	total: 17m 7s	remaining: 4m 43s
392:	learn: 0.1202299	total: 17m 9s	remaining: 4m 40s
393:	learn: 0.1199257	total: 17m 11s	remaining: 4m 37s
394:	learn: 0.1196287	total: 17m 14s	remaining: 4m 34s
395:	learn: 0.1193107	total: 17m 16s	remaining: 4m 32s
396:	learn: 0.1189964	total: 17m 18s	remaining: 4m 29s
397:	learn: 0.1186862	total: 17m 21s	remaining: 4m 26s
398:	learn: 0.1183725	total: 17m 23s	remaining: 4m 24s
399:	learn: 0.1180822	total: 17m 25s	remaining: 4m 21s
400:	learn: 0.1177951	total: 17m 28s	remaining: 4m 18s
401:	learn: 0.1174931	total: 17m 30s	remaining: 4m 16s
402:	learn: 0.1171896	total: 17m 32s	remaining: 4m 13s
403:	learn: 0.1168874	total: 17m 35s	remaining: 4m 10s
404:	learn: 0.1165803	total: 17m 37s	remaining: 4m 8s
405:	learn: 0.1162725	total: 17m 39s	remaining: 4m 5s
406:	learn: 0.1159619	total: 17m 42s	remaining: 4m 2s
407:	learn: 0.1156618	total: 17m 44s	remaining: 4m
408:	learn: 0.1153850	total: 17m 46s	remaining: 3m 57s
409:	learn: 0.1150800	total: 17m 49s	remaining: 3m 54s
410:	learn: 0.1148016	total: 17m 51s	remaining: 3m 51s
411:	learn: 0.1145036	total: 17m 53s	remaining: 3m 49s
412:	learn: 0.1142144	total: 17m 55s	remaining: 3m 46s
413:	learn: 0.1138911	total: 17m 58s	remaining: 3m 44s
414:	learn: 0.1135845	total: 18m	remaining: 3m 41s
415:	learn: 0.1133014	total: 18m 3s	remaining: 3m 38s
416:	learn: 0.1130261	total: 18m 5s	remaining: 3m 36s
417:	learn: 0.1127391	total: 18m 7s	remaining: 3m 33s
418:	learn: 0.1124404	total: 18m 10s	remaining: 3m 30s
419:	learn: 0.1121568	total: 18m 12s	remaining: 3m 28s
420:	learn: 0.1118594	total: 18m 15s	remaining: 3m 25s
421:	learn: 0.1115621	total: 18m 17s	remaining: 3m 22s
422:	learn: 0.1112675	total: 18m 19s	remaining: 3m 20s
423:	learn: 0.1109774	total: 18m 22s	remaining: 3m 17s
424:	learn: 0.1106998	total: 18m 24s	remaining: 3m 14s
425:	learn: 0.1103976	total: 18m 27s	remaining: 3m 12s
